ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,profit_dedt,bps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,roe,roe_waa,roe_dt,roe_yearly,netprofit_margin,gross_margin,assets_turn,ca_turn,debt_to_assets,current_ratio,quick_ratio,cash_ratio,op_income,fcff,fcfe,eps_5y_cagr,revenue_5y_cagr,data_years,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv,value_score,quality_score,total_score,rating,rank
600662.SH,600662,外服控股,上海,文教休闲,主板,SSE,19930614,H,20241231,0.4792,0.4797,9.7687,9.7687,456784657.3,2.2182,0.3122,0.0874,0.8387,23.3492,23.42,9.8167,23.3492,5.416,,1.3841,1.7158,65.9984,1.2305,1.2269,1.1946,645137100.63,934185063.2997,131555063.2997,(0.2295455777023192+0j),0.0520975240520114,4,20260227.0,5.79,12.169,11.955,2.621,0.5927,0.5298,4.1451,4.1451,1322121.8201,1318076.7738,75.0,68.0,71.5,B+,1
600861.SH,600861,北京人力,北京,文教休闲,主板,SSE,19940520,H,20241231,1.398,1.398,76.0125,76.0125,533460595.48,11.5393,2.7982,1.1445,6.5968,12.6148,12.61,8.5032,12.6148,2.4121,,2.6252,2.8538,55.1833,1.6897,1.6888,1.6598,781815458.71,490187183.1274,460187183.1274,(0.1385274631833917+0j),0.0598085366444431,3,20260227.0,17.96,12.8473,8.7871,1.4232,0.2363,0.2329,3.892,3.892,1016738.4415,658368.427,80.0,57.0,68.5,B+,2
603995.SH,603995,甬金股份,浙江,特种钢,主板,SSE,20191224,H,20241231,2.19,2.09,114.4937,114.4937,678481793.59,15.2743,5.7043,0.584,8.1829,14.7386,14.81,12.4186,14.7386,2.3025,,3.1024,7.791,52.4164,1.1026,0.5937,0.4162,942331664.08,-284596758.1886,315685906.5014,(0.3343492064965785+0j),0.0464677982941608,3,20260227.0,20.31,9.2218,11.0633,1.2989,0.1774,0.1748,3.9173,3.9173,742569.9447,742569.9447,80.0,55.0,67.5,B+,3
600612.SH,600612,老凤祥,上海,服饰,主板,SSE,19920814,H,20241231,3.7273,3.7273,108.5661,108.5661,1803456053.77,23.8915,0.8937,0.6409,21.3776,16.1997,16.2,14.9838,16.1997,4.4792,,2.4134,2.549,35.1131,2.7981,1.2603,1.1274,3149671005.17,2703859239.8195,587954520.3795,(-0.06164340512404509+0j),-0.1083604175795327,3,20260227.0,44.24,11.8693,14.3611,1.7995,0.4075,0.4432,4.6338,4.6338,2314272.9879,1402893.0031,75.0,55.0,65.0,B+,4
600970.SH,600970,中材国际,江苏,建筑工程,主板,SSE,20050412,H,20241231,1.14,1.14,17.4591,17.4591,2721114400.0,7.9921,0.1718,0.4502,6.4008,14.8374,14.96,13.5343,14.8374,6.9875,,0.8152,1.1095,61.2819,1.3124,1.2389,0.6007,3463513394.23,716525430.4309,182995558.3409,(0.00888906370182374+0j),0.0036367682930018,3,20260227.0,11.08,9.738,9.6928,1.3111,0.6298,0.6129,4.0895,4.0895,2904976.0326,2495057.3776,85.0,43.0,64.0,B,5
002705.SZ,2705,新宝股份,广东,家用电器,主板,SZSE,20140121,S,20241231,1.2903,1.2903,20.7187,20.7187,1084342410.19,10.17,2.2278,0.5782,6.3443,13.2891,13.31,13.6868,13.2891,6.6315,,1.1186,2.056,46.305,1.2153,0.8977,0.8483,1358926374.51,482512300.0455,503019080.2855,(0.04234203995553831+0j),0.0782394460477222,3,20260227.0,14.47,11.1583,10.5948,1.404,0.6984,0.7157,4.114,4.114,1174784.2537,1169325.6198,85.0,43.0,64.0,B,6
600300.SH,600300,维维股份,江苏,软饮料,主板,SSE,20000630,H,20241231,0.25,0.25,2.261,2.261,334769873.05,2.1561,0.0663,0.177,0.9554,12.3646,12.43,10.0678,12.3646,11.2377,,0.7991,1.9938,24.3426,1.9195,1.1352,0.8437,528504441.51,437000091.9949,307140091.9949,(0.38675049056307276+0j),-0.048143469035395,3,20260227.0,3.7,14.5532,14.7228,1.6994,1.6364,1.7832,3.4595,3.4595,598342.6066,598342.6066,65.0,62.0,63.5,B,7
600690.SH,600690,海尔智家,山东,家用电器,主板,SSE,19931119,H,20241231,2.02,2.02,30.4789,30.4789,17804732809.63,11.869,2.1438,0.5645,8.4503,17.4433,17.7,16.5718,17.4433,6.8451,,1.0524,2.0118,59.1922,1.0142,0.7264,0.6612,19259004422.42,15470729412.2523,19550493604.8223,(0.06230486213315056+0j),0.0489771583734695,3,20260227.0,25.7,12.8597,11.4987,2.0586,0.8427,0.7601,4.7559,4.7559,24100508.2005,16070283.0163,75.0,50.0,62.5,B,8
600216.SH,600216,浙江医药,浙江,化学制药,主板,SSE,19991021,H,20241231,1.21,1.21,9.7492,9.7492,1160134311.05,11.0729,2.067,1.8374,6.1699,11.4455,11.43,11.4418,11.4455,10.8824,,0.7056,1.5386,21.221,2.5628,1.7328,1.589,1177637376.5,735832775.833,682832775.833,(0.3905639050249219+0j),0.0647303464713653,4,20260227.0,16.29,13.4984,12.5924,1.417,1.6709,1.7488,2.2486,2.2486,1566507.8948,1549813.4548,65.0,60.0,62.5,B,9
603365.SH,603365,水星家纺,上海,纺织,主板,SSE,20171120,N,20241231,1.4,1.4,15.9602,15.9602,333457110.7,11.3329,3.1588,0.5079,6.9857,12.382,12.42,11.261,12.382,8.7431,,1.1256,1.3824,21.7125,3.9468,2.6416,2.1992,395785191.26,161201450.412,214841301.802,(-0.013986702816730645+0j),-0.0020954988589761,3,20260227.0,19.92,14.2613,13.4357,1.7704,1.247,1.1656,4.458,5.4479,522892.6296,517526.1816,75.0,50.0,62.5,B,10
600694.SH,600694,大商股份,辽宁,百货,主板,SSE,19931122,H,20241231,1.87,1.87,22.199,22.199,536821358.21,27.7799,2.4657,2.0441,22.3045,6.8592,6.88,6.2814,6.8592,9.2537,,0.3879,0.685,49.3688,1.7435,0.9514,0.9159,867109131.04,1091124214.8534,1091124214.8534,(0.02786048427850507+0j),-0.0569119430954963,3,20260227.0,18.14,10.6561,12.4918,0.7105,0.8989,0.9621,5.0612,5.0612,624665.1,624665.1,90.0,32.0,61.0,B,11
600018.SH,600018,上港集团,上海,港口,主板,SSE,20061026,H,20241231,0.644,0.6436,1.6372,1.6372,13277027736.82,5.7259,0.5239,0.493,3.6842,11.6611,11.669,10.3532,11.6611,42.1434,,0.1834,0.7489,30.4858,2.113,1.7897,1.6456,8507234086.75,4755672627.4393,4771097842.7693,(0.06377221063212635+0j),0.0075360878171899,3,20260227.0,5.09,7.9238,8.8429,0.8533,3.1087,3.0044,2.8489,3.8312,11849499.8965,11832579.6402,70.0,50.0,60.0,B,12
601001.SH,601001,晋控煤业,山西,煤炭开采,主板,SSE,20060623,H,20241231,1.68,1.68,8.9816,8.9816,2809291605.37,11.0499,0.0945,0.6095,8.3961,15.8687,15.87,15.8757,15.8687,26.0333,,0.3996,0.8478,28.8894,2.3966,2.3357,2.2954,4922662887.78,4235260343.4914,1994260343.4914,(-0.07653268700370941+0j),-0.0101262186040924,3,20260227.0,16.95,10.1028,14.6705,1.509,1.8872,2.1617,4.4543,4.4543,2836921.5,2836921.5,65.0,55.0,60.0,B,13
605377.SH,605377,华旺科技,浙江,造纸,主板,SSE,20201228,H,20241231,1.01,1.01,8.1094,8.1094,434479049.27,8.5306,3.8825,0.4123,3.264,11.7598,11.57,10.8975,11.7598,12.4367,,0.6121,0.8037,34.963,2.2474,1.8382,1.8221,386986147.92,266270641.4071,459104369.2071,(-0.2337041678792834+0j),-0.1768344247982288,3,20260227.0,9.14,10.8518,19.0708,1.3249,1.3501,1.5221,6.6193,6.6193,508796.625,508796.625,75.0,45.0,60.0,B,14
