rank,ts_code,symbol,name,industry,area,value_score,quality_score,total_score,rating,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,roe,roe_waa,gross_margin,current_ratio,quick_ratio,eps_5y_cagr,revenue_5y_cagr,data_years,total_mv,circ_mv,close,list_date
1,600662.SH,600662,外服控股,文教休闲,上海,75.0,68.0,71.5,B+,12.169,11.955,2.621,0.5927,0.5298,4.1451,4.1451,23.3492,23.42,,1.2305,1.2269,(0.2295455777023192+0j),0.0520975240520114,4,1322121.8201,1318076.7738,5.79,19930614
2,600861.SH,600861,北京人力,文教休闲,北京,80.0,57.0,68.5,B+,12.8473,8.7871,1.4232,0.2363,0.2329,3.892,3.892,12.6148,12.61,,1.6897,1.6888,(0.1385274631833917+0j),0.0598085366444431,3,1016738.4415,658368.427,17.96,19940520
3,603995.SH,603995,甬金股份,特种钢,浙江,80.0,55.0,67.5,B+,9.2218,11.0633,1.2989,0.1774,0.1748,3.9173,3.9173,14.7386,14.81,,1.1026,0.5937,(0.3343492064965785+0j),0.0464677982941608,3,742569.9447,742569.9447,20.31,20191224
4,600612.SH,600612,老凤祥,服饰,上海,75.0,55.0,65.0,B+,11.8693,14.3611,1.7995,0.4075,0.4432,4.6338,4.6338,16.1997,16.2,,2.7981,1.2603,(-0.06164340512404509+0j),-0.1083604175795327,3,2314272.9879,1402893.0031,44.24,19920814
5,600970.SH,600970,中材国际,建筑工程,江苏,85.0,43.0,64.0,B,9.738,9.6928,1.3111,0.6298,0.6129,4.0895,4.0895,14.8374,14.96,,1.3124,1.2389,(0.00888906370182374+0j),0.0036367682930018,3,2904976.0326,2495057.3776,11.08,20050412
6,002705.SZ,2705,新宝股份,家用电器,广东,85.0,43.0,64.0,B,11.1583,10.5948,1.404,0.6984,0.7157,4.114,4.114,13.2891,13.31,,1.2153,0.8977,(0.04234203995553831+0j),0.0782394460477222,3,1174784.2537,1169325.6198,14.47,20140121
7,600300.SH,600300,维维股份,软饮料,江苏,65.0,62.0,63.5,B,14.5532,14.7228,1.6994,1.6364,1.7832,3.4595,3.4595,12.3646,12.43,,1.9195,1.1352,(0.38675049056307276+0j),-0.048143469035395,3,598342.6066,598342.6066,3.7,20000630
8,600690.SH,600690,海尔智家,家用电器,山东,75.0,50.0,62.5,B,12.8597,11.4987,2.0586,0.8427,0.7601,4.7559,4.7559,17.4433,17.7,,1.0142,0.7264,(0.06230486213315056+0j),0.0489771583734695,3,24100508.2005,16070283.0163,25.7,19931119
9,600216.SH,600216,浙江医药,化学制药,浙江,65.0,60.0,62.5,B,13.4984,12.5924,1.417,1.6709,1.7488,2.2486,2.2486,11.4455,11.43,,2.5628,1.7328,(0.3905639050249219+0j),0.0647303464713653,4,1566507.8948,1549813.4548,16.29,19991021
10,603365.SH,603365,水星家纺,纺织,上海,75.0,50.0,62.5,B,14.2613,13.4357,1.7704,1.247,1.1656,4.458,5.4479,12.382,12.42,,3.9468,2.6416,(-0.013986702816730645+0j),-0.0020954988589761,3,522892.6296,517526.1816,19.92,20171120
11,600694.SH,600694,大商股份,百货,辽宁,90.0,32.0,61.0,B,10.6561,12.4918,0.7105,0.8989,0.9621,5.0612,5.0612,6.8592,6.88,,1.7435,0.9514,(0.02786048427850507+0j),-0.0569119430954963,3,624665.1,624665.1,18.14,19931122
12,600018.SH,600018,上港集团,港口,上海,70.0,50.0,60.0,B,7.9238,8.8429,0.8533,3.1087,3.0044,2.8489,3.8312,11.6611,11.669,,2.113,1.7897,(0.06377221063212635+0j),0.0075360878171899,3,11849499.8965,11832579.6402,5.09,20061026
13,601001.SH,601001,晋控煤业,煤炭开采,山西,65.0,55.0,60.0,B,10.1028,14.6705,1.509,1.8872,2.1617,4.4543,4.4543,15.8687,15.87,,2.3966,2.3357,(-0.07653268700370941+0j),-0.0101262186040924,3,2836921.5,2836921.5,16.95,20060623
14,605377.SH,605377,华旺科技,造纸,浙江,75.0,45.0,60.0,B,10.8518,19.0708,1.3249,1.3501,1.5221,6.6193,6.6193,11.7598,11.57,,2.2474,1.8382,(-0.2337041678792834+0j),-0.1768344247982288,3,508796.625,508796.625,9.14,20201228
15,603198.SH,603198,迎驾贡酒,白酒,安徽,50.0,65.0,57.5,B,11.7469,14.5234,2.9945,4.1417,4.7928,3.9453,3.9453,28.4841,27.91,,3.0796,1.5048,(0.06436231278034876+0j),0.045374774397868,3,3041600.0,3041600.0,38.02,20150528
16,601336.SH,601336,新华保险,保险,北京,70.0,45.0,57.5,B,8.9915,6.1406,2.3963,1.7792,1.4482,3.5185,3.5185,26.0587,25.88,,,,(0.7361845862588241+0j),0.3611382714297459,3,23583772.296,15765921.4104,75.6,20111216
17,601918.SH,601918,新集能源,煤炭开采,安徽,70.0,45.0,57.5,B,8.3791,9.7128,1.2298,1.5754,1.6245,2.0672,2.7132,16.4602,16.46,,0.4076,0.3765,0.06542720780686628,-0.0045887101687048,3,2005079.3532,2005079.3532,7.74,20071219
18,601633.SH,601633,长城汽车,汽车整车,河北,55.0,60.0,57.5,B,13.8224,17.6994,2.0378,0.8677,0.7875,2.1954,2.1954,17.2111,17.2,,1.0917,0.8838,0.34798856476296103,0.0767229964258635,3,17543638.092,12728948.847,20.5,20110928
19,000848.SZ,848,承德露露,软饮料,河北,55.0,60.0,57.5,B,12.8602,13.5836,2.656,2.6064,2.7782,3.6749,3.6749,20.413,20.55,,3.7475,3.5478,0.0242950394631678,0.0548020274724818,3,856800.0622,849361.0222,8.4,19971113
20,601163.SH,601163,三角轮胎,汽车配件,山东,75.0,40.0,57.5,B,11.2672,13.7812,0.906,1.2233,1.2595,3.4127,3.4127,8.3811,8.38,,2.4496,2.2314,(-0.11198455611885416+0j),-0.0128442473548823,3,1242400.0,1242400.0,15.53,20160909
21,603967.SH,603967,中创物流,仓储物流,山东,70.0,42.0,56.0,B,18.136,17.7076,1.9592,0.3871,0.4932,4.5386,4.5386,10.9159,10.99,,1.5963,1.5882,(0.02857717964805806+0j),0.2650288500146924,3,458293.3906,458293.3906,13.22,20190429
22,603766.SH,603766,隆鑫通用,摩托车,重庆,50.0,62.0,56.0,B,28.8452,17.9746,3.396,1.9227,1.688,2.5397,3.8095,12.8658,12.89,,1.8596,1.7054,0.4015297764534702,0.1346505327181728,3,3234328.4138,3234328.4138,15.75,20120810
23,600713.SH,600713,南京医药,医药商业,江苏,75.0,37.0,56.0,B,12.662,13.6143,1.037,0.1346,0.1341,3.079,3.079,8.5982,8.599,,1.6268,1.2591,(-0.007896344668890776+0j),0.0013389274546933,3,722530.5827,711992.9159,5.52,19960701
24,601006.SH,601006,大秦铁路,铁路,山西,75.0,35.0,55.0,B,11.367,15.4279,0.6235,1.3769,1.3437,4.3137,4.3137,6.1777,6.1,,4.9204,4.8092,(-0.1965265279717291+0j),-0.1218005875833769,3,10275060.6352,10275060.6352,5.1,20060801
25,603589.SH,603589,口子窖,白酒,安徽,55.0,55.0,55.0,B,10.1645,15.4834,1.6065,2.7973,3.4857,4.625,4.625,16.3373,16.39,,2.877,0.8872,(-0.0193509935417282+0j),0.0044183576108218,3,1682510.0747,1682510.0747,28.13,20150629
26,600012.SH,600012,皖通高速,路桥,安徽,60.0,50.0,55.0,B,14.5268,12.5939,1.9493,3.4187,3.2614,4.2565,4.2565,12.8422,12.84,,3.6034,3.6004,(0.0027440368893680844+0j),0.034146020901526,3,2424491.8905,1653986.4,14.19,20030107
27,601577.SH,601577,长沙银行,银行,湖南,95.0,15.0,55.0,B,5.0356,4.8077,0.5644,1.5196,1.505,6.3265,6.3265,10.861,11.81,,,,(0.024969169171838557+0j),0.0225824704130754,3,3941122.6789,3940269.9525,9.8,20180926
28,603323.SH,603323,苏农银行,银行,江苏,90.0,20.0,55.0,B,5.241,4.9895,0.5372,2.442,2.4323,5.0225,5.0225,11.5005,11.67,,,,(0.05028223992656122+0j),0.0068617914798581,3,1019363.4257,1019363.4257,5.05,20161129
29,001206.SZ,1206,依依股份,造纸,天津,50.0,60.0,55.0,B,20.3959,19.8631,2.3972,2.4408,2.4538,2.5606,3.4833,11.9365,11.76,,4.2003,3.6546,(0.4516001023501124+0j),0.1593705764563353,3,438753.0064,252286.589,23.73,20210518
30,601225.SH,601225,陕西煤业,煤炭开采,陕西,65.0,45.0,55.0,B,10.2761,12.0113,2.4332,1.2478,1.2996,5.393,4.9578,24.8618,21.32,,0.9024,0.8307,(0.02703189850556509+0j),0.0381110924557188,3,22977150.0,22977150.0,23.7,20140128
31,002303.SZ,2303,美盈森,造纸,深圳,70.0,40.0,55.0,B,22.1865,19.3429,1.4128,1.5591,1.5374,4.8284,4.8284,5.882,5.63,,1.4746,1.3077,(0.1981640913061744+0j),0.0680192810075968,3,624780.0635,394510.2989,4.08,20091103
32,603049.SH,603049,中策橡胶,汽车配件,浙江,65.0,45.0,55.0,B,12.6907,11.7622,1.9907,1.2244,1.1012,2.3654,2.3654,23.9249,24.01,,0.9634,0.5638,,-0.8944826635156722,3,4806172.8466,480617.2858,54.96,20250605
33,600285.SH,600285,羚锐制药,中成药,河南,45.0,63.0,54.0,C+,16.9456,15.3125,3.7694,3.4975,3.2365,4.1686,4.1686,24.6454,24.8,,1.3114,1.0794,(0.1277141173341685+0j),0.0282118856487596,3,1224402.3343,1221703.5843,21.59,20001018
34,603369.SH,603369,今世缘,白酒,江苏,50.0,57.0,53.5,C+,11.4195,13.5513,2.3602,3.375,3.7162,3.84,3.84,23.743,23.74,,1.6633,0.9983,(0.04304448428972196+0j),0.0692242468137394,3,3896250.1156,3896250.1156,31.25,20140703
35,000828.SZ,828,东莞控股,路桥,广东,65.0,40.0,52.5,C+,11.9928,10.764,1.1262,6.7706,7.3331,4.3103,4.3103,9.2044,9.85,,2.3768,2.3768,0.24093049365644426,-0.3992746760662511,3,1145547.7252,1145546.2375,11.02,19970617
36,600908.SH,600908,无锡银行,银行,江苏,90.0,15.0,52.5,C+,5.7203,5.5557,0.5829,2.7261,2.6475,5.6218,5.6218,10.169,10.62,,,,,0.0103761680424681,3,1288278.155,1173596.5344,5.87,20160923
37,600926.SH,600926,杭州银行,银行,浙江,80.0,25.0,52.5,C+,6.9363,6.19,0.8844,3.0691,3.0361,4.0615,4.0615,13.7321,16.0,,,,(0.05855361829516159+0j),0.0242632796215958,4,11779629.1405,11779629.1405,16.25,20161027
38,002839.SZ,2839,张家港行,银行,江苏,90.0,15.0,52.5,C+,5.9594,5.6983,0.6183,2.3762,2.3548,6.5502,6.5502,10.221,11.05,,,,(0.01904933073013626+0j),-0.0403755313253413,3,1119509.9981,1118474.4835,4.58,20170124
39,601166.SH,601166,兴业银行,银行,福建,95.0,10.0,52.5,C+,5.019,5.0019,0.4851,1.8258,1.8214,5.7892,8.8749,9.2013,9.89,,,,0j,0.0033053388573796,3,38749189.3268,38749189.3268,18.31,20070205
40,601628.SH,601628,中国人寿,保险,北京,60.0,45.0,52.5,C+,11.7568,7.386,2.0307,2.3785,1.9666,1.5468,1.5468,22.0533,21.59,,,,(1.2449944320643649+0j),-0.2057367000495042,3,125721407.84,92623061.44,44.48,20070109
41,603111.SH,603111,康尼机电,运输设备,江苏,60.0,45.0,52.5,C+,17.7404,17.1163,1.5693,1.5686,1.4228,3.4121,3.4121,8.9991,8.87,,2.392,2.1211,(0.05559732582349519+0j),0.0709194011637384,3,622386.1452,615778.3463,7.22,20140801
42,601998.SH,601998,中信银行,银行,北京,95.0,10.0,52.5,C+,5.8424,5.6734,0.5535,1.8753,1.8856,5.0028,5.0028,9.1041,9.79,,,,(-0.019882700254789665+0j),-0.0335365707271869,3,40064516.8301,29349359.4866,7.2,20070427
43,600919.SH,600919,江苏银行,银行,江苏,90.0,15.0,52.5,C+,5.9647,5.5552,0.7627,2.3503,2.2164,5.0301,5.2686,11.4957,13.59,,,,(-0.011905186256528588+0j),0.0429706458031855,3,18993620.8192,18993620.8192,10.35,20160802
44,600015.SH,600015,华夏银行,银行,北京,95.0,10.0,52.5,C+,3.847,3.9144,0.3468,1.096,1.1584,6.0538,6.0538,8.1333,8.84,,,,(0.046228748694373545+0j),0.020911364586952,3,10647087.1451,10294052.8446,6.69,20030912
45,603515.SH,603515,欧普照明,家用电器,上海,55.0,50.0,52.5,C+,15.3914,16.1905,2.0888,1.9585,2.0037,4.7952,4.7952,13.5044,13.51,,2.4892,2.3025,(-0.008032258589020458+0j),-0.04509868382245,3,1389798.8646,1376851.1342,18.7,20160819
46,600750.SH,600750,华润江中,中成药,江西,45.0,58.0,51.5,C+,20.0476,17.4385,4.5315,3.5625,3.7448,4.8223,4.8223,20.4876,19.58,,1.4045,1.1442,(0.05644281841064558+0j),0.005490618636196,3,1580134.6365,1562911.8174,24.86,19960923
47,689009.SH,689009,九号公司-WD,摩托车,北京,40.0,63.0,51.5,C+,33.8718,19.3102,5.3433,2.5868,1.6938,2.9982,2.9982,18.6709,19.1,,1.3586,1.1571,(0.35290298081856775+0j),0.181619343322412,3,3672133.9774,2828297.5505,50.9,20201029
48,688036.SH,688036,传音控股,通信设备,深圳,45.0,57.0,51.0,C+,11.9933,25.7531,3.2544,0.9685,1.0141,3.9411,3.9411,28.9872,28.35,,1.618,1.2568,(-0.15607506120177883+0j),-0.1167150241700983,3,6654997.8546,6654997.8546,57.81,20190930
49,603309.SH,603309,维力医疗,医疗保健,广东,55.0,47.0,51.0,C+,20.1017,18.0516,2.3497,2.9219,2.689,3.3204,4.644,11.8524,11.84,,1.6662,1.3491,(0.06600358177805221+0j),0.0434099846840299,3,441017.7126,441017.7126,15.11,20150302
50,600833.SH,600833,第一医药,医药商业,上海,35.0,67.0,51.0,C+,18.0865,42.7382,2.5408,1.5399,1.4142,1.6641,1.6641,15.2604,15.06,,1.7388,1.2199,(0.3509256086106296+0j),0.0259443874770251,3,294920.1507,294920.1507,13.22,19940224
51,002457.SZ,2457,青龙管业,塑料,宁夏,45.0,57.0,51.0,C+,18.3357,23.8748,1.9904,1.7424,1.848,1.0767,1.0767,11.293,11.33,,1.8456,1.4692,(2.401680257083045+0j),0.1718672549512692,3,490892.5696,490649.4673,14.72,20100803
52,002555.SZ,2555,三七互娱,互联网,安徽,45.0,57.0,51.0,C+,20.2766,17.3703,4.1704,3.1076,3.2725,4.0585,4.0585,20.8604,20.58,,1.6001,1.6001,(0.002770097253592896+0j),0.0176992826398321,4,5419982.3185,3917469.8679,24.5,20110302
53,002615.SZ,2615,哈尔斯,家居用品,浙江,45.0,57.0,51.0,C+,14.5472,25.7731,2.4501,1.2512,1.2256,2.7806,2.7806,17.9736,18.1,,1.5195,1.0658,(0.08012344973464325+0j),0.1766809750851092,3,416843.3524,273602.0942,8.94,20110909
54,600016.SH,600016,民生银行,银行,北京,95.0,5.0,50.0,C+,5.26,5.5969,0.3023,1.2464,1.1868,5.1031,5.1031,5.0962,5.18,,,,(-0.057190958417936644+0j),-0.0162056832567525,3,16987578.3788,13759303.8066,3.88,20001219
55,688606.SH,688606,奥泰生物,医疗保健,浙江,50.0,50.0,50.0,C+,18.0882,18.5617,1.4309,6.3135,6.2057,3.5661,3.5661,7.8453,7.81,,9.9112,9.3753,(0.29438734407101963+0j),0.0715625014776928,3,547117.1804,547117.1804,69.01,20210325
56,601997.SH,601997,贵阳银行,银行,贵州,90.0,10.0,50.0,C+,4.1139,4.1584,0.3362,1.4227,1.5818,4.9914,4.9914,8.0435,8.35,,,,(-0.03509871864598457+0j),-0.0054886756066181,3,2124251.0822,2124251.0822,5.81,20160816
57,601009.SH,601009,南京银行,银行,江苏,85.0,15.0,50.0,C+,6.8936,6.3782,0.7662,2.7667,2.5043,4.4071,4.4071,11.2691,12.97,,,,0.04368851401446139,0.020013208340387,3,13909013.1506,13909013.1506,11.25,20070719
58,605599.SH,605599,菜百股份,服饰,北京,45.0,55.0,50.0,C+,26.8271,23.7625,4.6324,0.9534,0.7606,2.9032,2.9032,18.5146,18.73,,2.2734,0.9336,0.005479493072340524,0.1056011000870296,3,1928888.944,1928888.944,24.8,20210909
